latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
39.67751,44.85616,332.92,0.53,0.42,2018-04-01,0933,N20,VIIRS,l,2,303.15,3.52,D,0
39.67625,44.85008,328.51,0.53,0.42,2018-04-01,0933,N20,VIIRS,l,2,300.23,3.52,D,0
40.40665,49.91227,296.69,0.32,0.55,2018-04-01,2152,N20,VIIRS,n,2,281.79,0.52,N,2
40.2528,49.44716,296.29,0.47,0.64,2018-04-01,2332,N20,VIIRS,n,2,277.55,0.78,N,2
41.46954,46.38045,330.51,0.46,0.47,2018-04-02,0915,N20,VIIRS,n,2,290.71,2.73,D,0
40.78729,46.25011,335.08,0.49,0.48,2018-04-02,0915,N20,VIIRS,n,2,291.81,4.8,D,0
40.78856,46.25559,339.41,0.49,0.48,2018-04-02,0915,N20,VIIRS,n,2,292.08,4.8,D,0
39.66274,44.85979,338.28,0.53,0.42,2018-04-04,1017,N20,VIIRS,n,2,302.04,6.52,D,0
40.22368,49.55687,300.71,0.38,0.36,2018-04-04,2236,N20,VIIRS,n,2,279.75,0.97,N,2
39.666,44.86519,336.97,0.39,0.36,2018-04-05,0958,N20,VIIRS,l,2,309.77,4.01,D,0
41.18408,48.84653,329.01,0.51,0.41,2018-04-05,0958,N20,VIIRS,n,2,292.95,2.73,D,0
39.41611,48.94597,329.74,0.49,0.4,2018-04-05,0958,N20,VIIRS,n,2,293.59,2.9,D,0
40.20117,49.46742,305.6,0.49,0.4,2018-04-05,2217,N20,VIIRS,n,2,278.13,0.76,N,2
40.25249,49.44875,302.69,0.49,0.4,2018-04-05,2217,N20,VIIRS,n,2,279.76,1.24,N,2
40.28031,46.13866,327.04,0.42,0.37,2018-04-06,0939,N20,VIIRS,n,2,295,3.02,D,0
39.82872,47.49316,330.82,0.39,0.36,2018-04-06,0939,N20,VIIRS,n,2,293.04,3.17,D,0
40.27864,46.14928,336.05,0.41,0.37,2018-04-06,0939,N20,VIIRS,n,2,297.34,4.3,D,0
40.27773,46.1441,329.5,0.41,0.37,2018-04-06,0939,N20,VIIRS,n,2,295.95,4.3,D,0
40.27682,46.13895,327.2,0.42,0.37,2018-04-06,0939,N20,VIIRS,l,2,299.92,3.02,D,0
40.27515,46.14956,336.49,0.41,0.37,2018-04-06,0939,N20,VIIRS,n,2,297.75,6.21,D,0
41.64627,48.69558,333.35,0.38,0.36,2018-04-06,0940,N20,VIIRS,n,2,294.62,2.18,D,0
41.29735,45.23875,343.2,0.43,0.38,2018-04-06,0940,N20,VIIRS,n,2,294.96,4.82,D,0
