latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
39.72523,48.92278,331.13,0.35,0.57,2026-03-02,1025,N20,VIIRS,n,2.0NRT,283.43,2.92,D
39.39377,47.30724,331.19,0.49,0.41,2026-03-03,1008,N20,VIIRS,n,2.0NRT,295.26,4.47,D
39.49002,48.8113,338.18,0.39,0.44,2026-03-03,1008,N20,VIIRS,n,2.0NRT,292.13,3.92,D
39.48957,48.8068,337.24,0.39,0.44,2026-03-03,1008,N20,VIIRS,n,2.0NRT,294.33,4.22,D
40.51667,47.50828,330.04,0.52,0.41,2026-03-03,1008,N20,VIIRS,n,2.0NRT,289.75,3.39,D
39.94696,48.14632,333.35,0.54,0.42,2026-03-03,1008,N20,VIIRS,n,2.0NRT,293.87,3.67,D
39.64112,48.92644,347.3,0.39,0.44,2026-03-03,1008,N20,VIIRS,n,2.0NRT,296.11,17.47,D
39.64647,48.89768,325.29,0.39,0.44,2026-03-03,1008,N20,VIIRS,n,2.0NRT,291.97,1.93,D
39.71092,48.75522,339.07,0.39,0.44,2026-03-03,1008,N20,VIIRS,n,2.0NRT,295.65,2.47,D
39.74775,49.09041,330.09,0.4,0.44,2026-03-03,1008,N20,VIIRS,n,2.0NRT,289.71,2.18,D
39.74549,49.06698,325.95,0.4,0.44,2026-03-03,1008,N20,VIIRS,n,2.0NRT,290.37,1.95,D
39.72065,47.88221,330.41,0.53,0.42,2026-03-03,1008,N20,VIIRS,n,2.0NRT,295.13,1.76,D
39.78171,48.35471,335.43,0.55,0.43,2026-03-03,1008,N20,VIIRS,n,2.0NRT,292.85,4.64,D
39.83324,48.70434,331.48,0.38,0.43,2026-03-03,1008,N20,VIIRS,n,2.0NRT,293.52,2.52,D
39.7368,47.74215,327.86,0.52,0.41,2026-03-03,1008,N20,VIIRS,n,2.0NRT,295.89,5.19,D
39.89964,48.78764,332.76,0.39,0.44,2026-03-03,1008,N20,VIIRS,n,2.0NRT,289.57,2.62,D
39.93673,48.74917,330.6,0.39,0.44,2026-03-03,1008,N20,VIIRS,n,2.0NRT,291.1,1.52,D
39.92359,48.07256,336.74,0.54,0.42,2026-03-03,1008,N20,VIIRS,n,2.0NRT,292.72,4.85,D
