latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
40.4183,47.4493,301.1,1.3,1.1,2012-02-20,0941,Aqua,MODIS,44,6.03,286,6.9,D,0
39.2516,46.7231,315.8,1.1,1.1,2012-02-23,1011,Aqua,MODIS,76,6.03,290.9,15.3,D,0
39.25,46.7103,309.5,1.1,1.1,2012-02-23,1011,Aqua,MODIS,69,6.03,289,9.7,D,0
40.3432,47.2605,305.7,1.2,1.1,2012-02-23,1012,Aqua,MODIS,62,6.03,288.4,8.6,D,0
40.5906,47.4714,303.2,1.2,1.1,2012-02-23,1012,Aqua,MODIS,55,6.03,285.7,7.1,D,0
40.6005,47.4695,308.9,1.2,1.1,2012-02-23,1012,Aqua,MODIS,68,6.03,286.2,12.3,D,0
40.7639,46.9475,302.4,1.2,1.1,2012-02-23,1012,Aqua,MODIS,52,6.03,286.9,6.1,D,0
40.2662,46.817,305.8,1,1,2012-02-25,0959,Aqua,MODIS,27,6.03,293.8,3.8,D,0
40.2743,47.3986,300.8,1,1,2012-02-25,0959,Aqua,MODIS,37,6.03,280.9,4.7,D,2
39.4412,48.4443,315.7,1,1,2012-02-25,0959,Aqua,MODIS,76,6.03,290.1,12.9,D,0
40.2751,46.8148,313.3,1,1,2012-02-25,0959,Aqua,MODIS,74,6.03,292,9.4,D,0
40.5632,47.0261,304.7,1,1,2012-02-25,1000,Aqua,MODIS,45,6.03,292.9,3.8,D,0
40.1181,48.2306,301.7,1.4,1.2,2012-02-26,0724,Terra,MODIS,49,6.03,287.4,8,D,0
39.9674,47.918,310.5,1.5,1.2,2012-02-26,0724,Terra,MODIS,70,6.03,287.7,17.8,D,0
39.8387,48.4941,302.7,1.4,1.2,2012-02-26,0724,Terra,MODIS,53,6.03,287.6,7.7,D,0
39.8911,47.8813,302.6,1.5,1.2,2012-02-26,0724,Terra,MODIS,53,6.03,287.6,9,D,0
39.7497,48.0587,312.6,1.4,1.2,2012-02-26,0724,Terra,MODIS,73,6.03,289,18,D,0
39.7459,48.0513,305.8,1.4,1.2,2012-02-26,0724,Terra,MODIS,62,6.03,289.1,11.1,D,0
39.7441,48.0679,307.5,1.4,1.2,2012-02-26,0724,Terra,MODIS,66,6.03,287.5,13.1,D,0
39.9692,47.9008,307.6,1.5,1.2,2012-02-26,0724,Terra,MODIS,66,6.03,287.5,14.4,D,0
40.4803,47.4317,301.6,1.6,1.2,2012-02-26,0724,Terra,MODIS,34,6.03,286.8,7.6,D,0
40.4674,47.4486,302.1,1.6,1.2,2012-02-26,0724,Terra,MODIS,51,6.03,286.8,8.7,D,0
40.4212,47.4544,300.5,1.6,1.2,2012-02-26,0724,Terra,MODIS,37,6.03,287.1,7.5,D,0
40.2764,47.3054,301.4,1.6,1.2,2012-02-26,0724,Terra,MODIS,47,6.03,289.5,7.5,D,0
39.6799,48.1554,310.3,4,1.9,2012-02-26,0904,Aqua,MODIS,34,6.03,291.3,63.9,D,0
39.7096,47.1872,307.4,4.5,2,2012-02-26,0904,Aqua,MODIS,65,6.03,293.9,52.7,D,0
39.7102,47.1837,306.5,4.5,2,2012-02-26,0904,Aqua,MODIS,64,6.03,293.8,50.6,D,0
40.0972,48.4577,300.3,3.7,1.8,2012-02-26,0904,Aqua,MODIS,35,6.03,289.7,22.4,D,0
40.4397,48.0476,314.5,3.7,1.8,2012-02-26,1042,Aqua,MODIS,75,6.03,288.5,81.4,D,0
39.0537,46.6931,305.6,3,1.6,2012-02-26,1042,Aqua,MODIS,62,6.03,290.8,25.6,D,0
39.0527,46.6881,304.8,3,1.6,2012-02-26,1042,Aqua,MODIS,60,6.03,290.7,22.8,D,0
39.1754,46.7488,316.4,3,1.6,2012-02-26,1042,Aqua,MODIS,77,6.03,294.2,56,D,0
39.1613,46.7415,307.3,3,1.6,2012-02-26,1042,Aqua,MODIS,39,6.03,293.9,25.1,D,0
39.1762,46.7406,312.3,3,1.6,2012-02-26,1042,Aqua,MODIS,72,6.03,294.4,41.5,D,0
39.1849,46.6311,310.2,3,1.6,2012-02-26,1042,Aqua,MODIS,69,6.03,293.4,37.2,D,0
39.3367,46.6738,303,3,1.6,2012-02-26,1042,Aqua,MODIS,45,6.03,291.5,14.6,D,0
40.1773,47.3025,302.9,3.3,1.7,2012-02-26,1042,Aqua,MODIS,54,6.03,291,21.4,D,0
40.1717,47.2985,302.8,3.3,1.7,2012-02-26,1042,Aqua,MODIS,54,6.03,290.8,20.9,D,0
40.3255,47.3177,304.2,3.3,1.7,2012-02-26,1042,Aqua,MODIS,58,6.03,290.8,26.4,D,0
40.3353,47.3125,303.5,3.3,1.7,2012-02-26,1042,Aqua,MODIS,56,6.03,290.6,23.3,D,0
40.4475,48.0551,309.6,3.7,1.8,2012-02-26,1042,Aqua,MODIS,69,6.03,288.1,61.6,D,0
40.4456,48.0115,301.2,3.7,1.8,2012-02-26,1042,Aqua,MODIS,45,6.03,288.3,26.2,D,0
40.466,47.4227,309,3.4,1.7,2012-02-26,1042,Aqua,MODIS,68,6.03,289,42.6,D,0
40.4618,47.4149,307.5,3.4,1.7,2012-02-26,1042,Aqua,MODIS,65,6.03,289,39.9,D,0
40.5392,48.0851,322.2,3.7,1.8,2012-02-26,1042,Aqua,MODIS,81,6.03,289,124.7,D,0
40.5279,47.8248,303.8,3.6,1.8,2012-02-26,1042,Aqua,MODIS,57,6.03,288,32.4,D,0
40.526,47.7823,300.5,3.6,1.8,2012-02-26,1042,Aqua,MODIS,37,6.03,288.5,20.5,D,0
40.5555,48.0831,316.9,3.7,1.8,2012-02-26,1042,Aqua,MODIS,68,6.03,290.2,88.9,D,0
40.5456,47.2099,312.7,3.3,1.7,2012-02-26,1042,Aqua,MODIS,67,6.03,288.4,55.4,D,0
40.5436,47.1708,314.2,3.3,1.7,2012-02-26,1042,Aqua,MODIS,72,6.03,289.8,61.9,D,0
40.519,47.8207,306.2,3.6,1.8,2012-02-26,1042,Aqua,MODIS,63,6.03,288,41.7,D,2
40.545,48.0799,333.3,3.7,1.8,2012-02-26,1042,Aqua,MODIS,88,6.03,289.8,218.5,D,0
40.5403,47.2054,316.5,3.3,1.7,2012-02-26,1042,Aqua,MODIS,77,6.03,288.6,78.9,D,0
40.5385,47.1663,309.1,3.3,1.7,2012-02-26,1042,Aqua,MODIS,68,6.03,289.7,46,D,0
40.7753,46.9711,301.7,1.3,1.1,2012-02-27,0807,Terra,MODIS,48,6.03,287,5.6,D,2
40.5815,47.7298,306.9,1.4,1.2,2012-02-27,0807,Terra,MODIS,64,6.03,286.3,13.1,D,0
39.6657,44.8793,301.2,1.1,1,2012-02-27,0807,Terra,MODIS,35,6.03,287.1,4.9,D,0
41.0883,46.9436,312.5,1.1,1.1,2012-02-27,0947,Aqua,MODIS,50,6.03,294.9,10.6,D,0
39.7481,47.7631,308,1.1,1,2012-02-27,0947,Aqua,MODIS,41,6.03,289,8.4,D,0
40.5456,48.096,302.4,1.1,1,2012-02-27,0947,Aqua,MODIS,42,6.03,286.8,5.1,D,0
40.5565,47.8108,306.7,1.1,1,2012-02-27,0947,Aqua,MODIS,59,6.03,291,6.4,D,0
41.0847,46.9501,314.2,1.1,1.1,2012-02-27,0947,Aqua,MODIS,72,6.03,293.2,11.4,D,0
41.0342,45.8158,310.5,1.2,1.1,2012-02-27,0947,Aqua,MODIS,70,6.03,294.5,10,D,0
40.546,48.0713,301.4,2.2,1.4,2012-02-28,0712,Terra,MODIS,34,6.03,287.5,11.2,D,0
40.5571,48.0792,304.5,2.2,1.4,2012-02-28,0712,Terra,MODIS,57,6.03,288.6,14.9,D,0
39.5055,46.5969,304.5,1.9,1.3,2012-02-28,1030,Aqua,MODIS,43,6.03,291.7,11.7,D,0
39.9015,48.2858,304.4,2.4,1.5,2012-02-28,1030,Aqua,MODIS,53,6.03,293.6,12.2,D,0
40.0729,49.1535,305.4,2.8,1.6,2012-02-28,1030,Aqua,MODIS,56,6.03,291.1,21.7,D,0
39.8774,46.421,319.6,1.9,1.3,2012-02-28,1030,Aqua,MODIS,74,6.03,285.3,48.8,D,0
40.093,48.2522,309.3,2.4,1.5,2012-02-28,1030,Aqua,MODIS,66,6.03,293,25.8,D,0
40.1711,48.2969,302.9,2.5,1.5,2012-02-28,1030,Aqua,MODIS,47,6.03,291.5,11.9,D,0
40.3389,48.3244,302.7,2.5,1.5,2012-02-28,1030,Aqua,MODIS,47,6.03,291.7,12.1,D,0
40.4214,48.1903,304.3,2.4,1.5,2012-02-28,1030,Aqua,MODIS,55,6.03,291.5,15.2,D,0
41.0337,47.3498,303.8,2.2,1.4,2012-02-28,1030,Aqua,MODIS,57,6.03,288.4,15.1,D,0
41.063,47.2159,305.5,2.2,1.4,2012-02-28,1030,Aqua,MODIS,40,6.03,290.1,14.4,D,0
39.1498,46.6724,305.1,1.9,1.3,2012-02-28,1030,Aqua,MODIS,56,6.03,293.4,8.4,D,0
41.0628,47.2083,313.1,2.2,1.4,2012-02-28,1030,Aqua,MODIS,73,6.03,290.6,31.7,D,0
41.061,47.1828,306,2.2,1.4,2012-02-28,1030,Aqua,MODIS,63,6.03,291.1,15.6,D,0
41.0775,47.232,304.4,2.2,1.4,2012-02-28,1030,Aqua,MODIS,23,6.03,289.2,12.6,D,0
41.1106,46.6539,306,2,1.4,2012-02-28,1030,Aqua,MODIS,56,6.03,294.1,9.7,D,0
41.0993,46.6505,307.6,2,1.4,2012-02-28,1030,Aqua,MODIS,66,6.03,294.5,11.8,D,0
41.193,47.0591,306.5,2.1,1.4,2012-02-28,1030,Aqua,MODIS,64,6.03,291.5,15.4,D,0
41.061,47.1905,313.2,2.2,1.4,2012-02-28,1030,Aqua,MODIS,73,6.03,291.1,30,D,0
41.1522,46.8093,302.7,2.3,1.5,2012-02-28,1817,Terra,MODIS,51,6.03,278.5,32.1,N,0
39.1445,46.6751,306.2,1,1,2012-02-29,0755,Terra,MODIS,49,6.03,292.8,5.4,D,0
39.2865,46.7128,337.3,1,1,2012-02-29,0755,Terra,MODIS,90,6.03,295.8,37.6,D,0
39.2846,46.7244,312.9,1,1,2012-02-29,0755,Terra,MODIS,73,6.03,294.5,8.2,D,0
39.2199,46.7258,311.6,1,1,2012-02-29,0755,Terra,MODIS,71,6.03,293.9,8.5,D,0
38.6534,48.8206,306.4,1.4,1.2,2012-02-29,0934,Aqua,MODIS,53,6.03,293.6,6.6,D,0
40.4416,48.0051,307.9,1.4,1.2,2012-02-29,0935,Aqua,MODIS,66,6.03,291.5,10.4,D,0
39.1917,46.7151,323.3,1.8,1.3,2012-02-29,0935,Aqua,MODIS,82,6.03,295.4,38.8,D,0
39.2031,46.7113,341.5,1.8,1.3,2012-02-29,0935,Aqua,MODIS,92,6.03,295.7,94.2,D,0
39.2144,46.7075,338.2,1.8,1.3,2012-02-29,0935,Aqua,MODIS,91,6.03,295.3,82.2,D,0
40.065,46.8535,311,1.6,1.3,2012-02-29,0935,Aqua,MODIS,67,6.03,292.6,14.9,D,0
40.5602,47.9883,304.8,1.4,1.2,2012-02-29,0935,Aqua,MODIS,42,6.03,291.5,6.4,D,2
40.6251,47.6132,305.7,1.5,1.2,2012-02-29,0935,Aqua,MODIS,62,6.03,292.6,7.7,D,0
39.3562,47.1662,305.1,1.4,1.2,2012-03-01,1018,Aqua,MODIS,60,6.03,290.5,8.2,D,0
39.3545,47.1503,304.7,1.4,1.2,2012-03-01,1018,Aqua,MODIS,56,6.03,290.7,7.7,D,0
39.2628,46.9576,301.8,1,1,2012-03-02,0743,Terra,MODIS,28,6.03,275.6,5,D,0
41.3098,46.9276,302.7,1.4,1.2,2012-03-04,0730,Terra,MODIS,53,6.03,275.5,12.3,D,0
39.5939,47.5382,308.1,1.3,1.1,2012-03-04,0730,Terra,MODIS,66,6.03,292.5,7.7,D,0
