latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
39.53453,47.54565,301.46,1.04,1.02,2026-01-06,0626,Terra,MODIS,47,6.1NRT,281.41,7.64,D
39.74128,47.87758,300.43,1.38,1.16,2026-01-06,1108,Aqua,MODIS,37,6.1NRT,287.33,8.09,D
39.73838,47.86225,305.65,1.39,1.17,2026-01-06,1108,Aqua,MODIS,62,6.1NRT,287.63,12.86,D
40.99466,45.80803,301.28,1.17,1.08,2026-01-07,1146,Aqua,MODIS,46,6.1NRT,285.71,7.14,D
39.42931,47.33509,301.6,3.18,1.69,2026-01-08,1047,Aqua,MODIS,45,6.1NRT,287.07,24.95,D
39.53206,47.54103,306.91,1.17,1.08,2026-01-12,1142,Aqua,MODIS,62,6.1NRT,279.95,12.69,D
39.51762,48.31064,302.28,1.04,1.02,2026-02-01,1121,Aqua,MODIS,51,6.1NRT,292,3.67,D
39.74912,48.53725,304.61,1.03,1.01,2026-02-01,1121,Aqua,MODIS,59,6.1NRT,290.38,5.7,D
39.96547,48.48391,311.02,1.03,1.01,2026-02-01,1121,Aqua,MODIS,71,6.1NRT,291.49,10.65,D
40.00155,48.65405,301.83,1.02,1.01,2026-02-01,1121,Aqua,MODIS,49,6.1NRT,291.17,4.17,D
40.10864,48.63146,303.77,1.02,1.01,2026-02-01,1121,Aqua,MODIS,57,6.1NRT,291.83,4.95,D
40.11917,48.64058,304.57,1.02,1.01,2026-02-01,1121,Aqua,MODIS,59,6.1NRT,291.2,5.55,D
40.10536,48.37977,300.93,1.03,1.01,2026-02-01,1121,Aqua,MODIS,43,6.1NRT,290.63,3.72,D
40.05749,47.34877,302.06,1.09,1.04,2026-02-01,1121,Aqua,MODIS,49,6.1NRT,288.1,4.06,D
40.0554,47.33652,309.65,1.09,1.04,2026-02-01,1121,Aqua,MODIS,69,6.1NRT,288.17,9.41,D
40.17971,47.85688,306.48,1.05,1.03,2026-02-01,1121,Aqua,MODIS,64,6.1NRT,289.93,7.62,D
40.17777,47.845,308.83,1.06,1.03,2026-02-01,1121,Aqua,MODIS,57,6.1NRT,290.33,8.77,D
40.28414,48.39106,302.16,1.03,1.01,2026-02-01,1121,Aqua,MODIS,51,6.1NRT,291.33,4.06,D
40.19353,47.8281,305.38,1.06,1.03,2026-02-01,1121,Aqua,MODIS,41,6.1NRT,290.01,6.09,D
40.19159,47.8162,311.84,1.06,1.03,2026-02-01,1121,Aqua,MODIS,72,6.1NRT,291.22,11.33,D
40.26697,47.98658,312.16,1.05,1.02,2026-02-01,1121,Aqua,MODIS,72,6.1NRT,291.29,11.3,D
40.26505,47.97478,303.66,1.05,1.02,2026-02-01,1121,Aqua,MODIS,57,6.1NRT,291.02,5.25,D
40.26615,47.92505,304.76,1.05,1.02,2026-02-01,1121,Aqua,MODIS,60,6.1NRT,291.04,5.54,D
40.26421,47.91322,349.02,1.05,1.02,2026-02-01,1121,Aqua,MODIS,96,6.1NRT,293.26,64.05,D
40.28685,47.88204,302.26,1.05,1.02,2026-02-01,1121,Aqua,MODIS,51,6.1NRT,290.65,4.46,D
40.29414,47.42167,311.05,1.08,1.04,2026-02-01,1121,Aqua,MODIS,71,6.1NRT,289.29,11.45,D
40.2921,47.40949,303.69,1.08,1.04,2026-02-01,1121,Aqua,MODIS,57,6.1NRT,288.38,5.96,D
40.37069,47.82801,307.31,1.05,1.02,2026-02-01,1121,Aqua,MODIS,65,6.1NRT,290.9,7.63,D
40.4662,48.36529,302.37,1.02,1.01,2026-02-01,1121,Aqua,MODIS,52,6.1NRT,289.88,4.37,D
40.38533,47.86113,303.29,1.05,1.02,2026-02-01,1121,Aqua,MODIS,55,6.1NRT,290.43,5.27,D
40.3834,47.84926,301.1,1.05,1.02,2026-02-01,1121,Aqua,MODIS,41,6.1NRT,290.69,3.58,D
40.33823,47.57409,327.88,1.07,1.03,2026-02-01,1121,Aqua,MODIS,85,6.1NRT,290.8,29.01,D
40.27075,47.17087,302.1,1.1,1.05,2026-02-01,1121,Aqua,MODIS,51,6.1NRT,283.57,4.77,D
40.47494,48.36288,305.9,1.02,1.01,2026-02-01,1121,Aqua,MODIS,62,6.1NRT,289.97,6.53,D
40.42783,48.0098,304.42,1.04,1.02,2026-02-01,1121,Aqua,MODIS,59,6.1NRT,290.42,5.86,D
40.42593,47.99802,306.71,1.04,1.02,2026-02-01,1121,Aqua,MODIS,64,6.1NRT,290.55,7.42,D
40.42714,47.94834,301,1.04,1.02,2026-02-01,1121,Aqua,MODIS,44,6.1NRT,290.81,4.16,D
40.45861,48.01912,302.35,1.04,1.02,2026-02-01,1121,Aqua,MODIS,52,6.1NRT,289.65,5.17,D
40.4567,48.00734,321.91,1.04,1.02,2026-02-01,1121,Aqua,MODIS,81,6.1NRT,289.59,21.1,D
40.37691,47.46746,320.34,1.08,1.04,2026-02-01,1121,Aqua,MODIS,80,6.1NRT,291.74,19.81,D
40.38584,47.46487,304.97,1.08,1.04,2026-02-01,1121,Aqua,MODIS,42,6.1NRT,291,5.71,D
40.35427,47.16558,305.55,1.1,1.05,2026-02-01,1121,Aqua,MODIS,62,6.1NRT,290.14,6.97,D
40.35218,47.15321,307.65,1.1,1.05,2026-02-01,1121,Aqua,MODIS,66,6.1NRT,289.21,8.65,D
40.63448,47.55831,300.71,1.06,1.03,2026-02-01,1121,Aqua,MODIS,41,6.1NRT,290.3,3.77,D
40.67053,46.99538,307.47,1.1,1.05,2026-02-01,1121,Aqua,MODIS,65,6.1NRT,291.19,8.87,D
39.69447,48.08617,305.76,1.08,1.04,2026-02-15,0624,Terra,MODIS,62,6.1NRT,286.13,8.57,D
39.47564,48.38803,314.19,2.63,1.56,2026-02-15,1206,Aqua,MODIS,74,6.1NRT,289.01,50.62,D
40.26987,47.91637,305.14,2.51,1.52,2026-02-15,1206,Aqua,MODIS,59,6.1NRT,292.35,15.84,D
40.28327,47.91483,344.42,2.51,1.52,2026-02-15,1206,Aqua,MODIS,94,6.1NRT,293.26,188.17,D
40.28117,47.88622,308.93,2.5,1.52,2026-02-15,1206,Aqua,MODIS,68,6.1NRT,292.01,23.28,D
40.27772,47.91063,327.36,2.51,1.52,2026-02-15,1206,Aqua,MODIS,85,6.1NRT,292.97,89.58,D
40.29111,47.90906,327.16,2.51,1.52,2026-02-15,1206,Aqua,MODIS,85,6.1NRT,292.2,90.16,D
40.28527,47.82346,303.8,2.48,1.52,2026-02-15,1206,Aqua,MODIS,57,6.1NRT,292.75,14.18,D
40.53663,47.71623,302.98,2.46,1.51,2026-02-15,1206,Aqua,MODIS,54,6.1NRT,291.84,13.27,D
39.68496,48.33341,302.59,1.58,1.24,2026-02-16,1106,Aqua,MODIS,53,6.1NRT,292.22,6.12,D
39.68147,48.31591,307.92,1.59,1.24,2026-02-16,1106,Aqua,MODIS,66,6.1NRT,292.84,12.57,D
39.52737,47.49837,305.11,1.79,1.31,2026-02-16,1106,Aqua,MODIS,61,6.1NRT,293.65,10.71,D
40.1148,48.49257,303.25,1.52,1.22,2026-02-16,1106,Aqua,MODIS,55,6.1NRT,292.68,6.89,D
40.12252,48.50111,304.19,1.51,1.21,2026-02-16,1106,Aqua,MODIS,58,6.1NRT,292.59,7.56,D
40.26159,47.91982,307.51,1.62,1.25,2026-02-16,1106,Aqua,MODIS,65,6.1NRT,293.52,12.94,D
40.28733,47.86713,308.24,1.63,1.26,2026-02-16,1106,Aqua,MODIS,67,6.1NRT,292.55,14.2,D
40.49393,47.95516,309,1.59,1.24,2026-02-16,1106,Aqua,MODIS,68,6.1NRT,291.9,15.97,D
40.47194,47.45154,309.97,1.7,1.28,2026-02-16,1106,Aqua,MODIS,69,6.1NRT,292.89,17.21,D
40.47163,47.44454,307.44,1.7,1.28,2026-02-16,1106,Aqua,MODIS,65,6.1NRT,292.78,14.34,D
