latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
39.37474,48.80868,331.49,0.38,0.36,2026-03-03,0945,N,VIIRS,n,2.0NRT,294.35,3.34,D
39.49697,48.80626,331.79,0.38,0.36,2026-03-03,0945,N,VIIRS,n,2.0NRT,293.56,2.17,D
39.49485,48.29897,330.42,0.39,0.36,2026-03-03,0945,N,VIIRS,n,2.0NRT,294.75,0.91,D
39.65841,48.95063,334.21,0.38,0.36,2026-03-03,0945,N,VIIRS,n,2.0NRT,291.63,4.28,D
39.70969,48.75444,329.69,0.38,0.36,2026-03-03,0945,N,VIIRS,n,2.0NRT,296.57,2.82,D
39.82306,49.13767,331.91,0.38,0.36,2026-03-03,0945,N,VIIRS,n,2.0NRT,291.42,2.76,D
39.81066,48.90555,329.15,0.38,0.36,2026-03-03,0945,N,VIIRS,n,2.0NRT,290.19,1.57,D
39.39688,49.28109,343.04,0.38,0.36,2026-03-03,0945,N,VIIRS,n,2.0NRT,293.34,9.42,D
39.82792,48.70634,328.23,0.38,0.36,2026-03-03,0945,N,VIIRS,n,2.0NRT,297.61,6.54,D
39.83121,48.70549,333.17,0.38,0.36,2026-03-03,0945,N,VIIRS,n,2.0NRT,292.92,5.11,D
39.80972,48.56724,327.06,0.38,0.36,2026-03-03,0945,N,VIIRS,n,2.0NRT,292.61,1.79,D
39.73544,47.74339,331.56,0.39,0.36,2026-03-03,0945,N,VIIRS,n,2.0NRT,295.81,4.16,D
39.84309,48.30403,329.26,0.39,0.36,2026-03-03,0945,N,VIIRS,n,2.0NRT,294.11,1.31,D
39.84613,48.27991,325.1,0.39,0.36,2026-03-03,0945,N,VIIRS,n,2.0NRT,291.39,2,D
39.98741,48.50905,329.61,0.38,0.36,2026-03-03,0945,N,VIIRS,n,2.0NRT,291.68,1.31,D
40.01569,47.95623,335.55,0.39,0.36,2026-03-03,0945,N,VIIRS,n,2.0NRT,292.68,2.2,D
40.02558,47.95354,325.38,0.39,0.36,2026-03-03,0945,N,VIIRS,n,2.0NRT,293.23,1.89,D
40.22524,48.03418,332.54,0.39,0.36,2026-03-03,0945,N,VIIRS,n,2.0NRT,293.02,2.38,D
40.1812,47.69758,336.94,0.39,0.36,2026-03-03,0945,N,VIIRS,n,2.0NRT,289.34,3.55,D
40.29914,48.02347,331.47,0.39,0.36,2026-03-03,0945,N,VIIRS,n,2.0NRT,292.85,3.19,D
39.80016,48.58148,326.73,0.55,0.51,2026-03-05,0911,N,VIIRS,n,2.0NRT,286.3,1.86,D
40.33364,47.46913,336.06,0.61,0.53,2026-03-05,0911,N,VIIRS,n,2.0NRT,287.41,5.94,D
40.64716,47.31694,339.25,0.61,0.53,2026-03-05,0911,N,VIIRS,n,2.0NRT,288.94,5.14,D
39.8302,48.30238,327.35,0.56,0.69,2026-03-05,1049,N,VIIRS,n,2.0NRT,286.86,2.73,D
39.3967,48.87164,330.45,0.33,0.56,2026-03-06,1030,N,VIIRS,n,2.0NRT,288.11,1.69,D
39.39753,48.87171,337.48,0.34,0.56,2026-03-06,1030,N,VIIRS,n,2.0NRT,287.85,2.35,D
39.61567,48.83026,345.16,0.34,0.56,2026-03-06,1030,N,VIIRS,n,2.0NRT,288.11,3.65,D
39.72972,49.04767,340.04,0.39,0.44,2026-03-07,1013,N,VIIRS,n,2.0NRT,273.97,4.64,D
38.94808,45.79223,326.59,0.34,0.56,2026-03-10,0915,N,VIIRS,n,2.0NRT,287.59,2,D
38.94704,45.78825,334.21,0.34,0.56,2026-03-10,0915,N,VIIRS,n,2.0NRT,286.97,2,D
39.46009,45.01647,335.89,0.51,0.49,2026-03-11,1038,N,VIIRS,n,2.0NRT,292.93,4.25,D
40.59742,49.58776,314.55,0.43,0.38,2026-03-11,2257,N,VIIRS,n,2.0NRT,277.49,1.77,N
40.08287,47.78942,326.06,0.41,0.45,2026-03-12,1017,N,VIIRS,n,2.0NRT,290.61,1.19,D
40.18655,47.41243,339.38,0.39,0.44,2026-03-12,1017,N,VIIRS,n,2.0NRT,288.99,3.97,D
40.13885,47.2559,329.48,0.4,0.37,2026-03-13,1000,N,VIIRS,n,2.0NRT,291.34,3.58,D
