City,Feature,mean,std,min,p25,median,p75,max,skew,kurtosis
Baku,Temperature_C_mean,15.462,8.334,-3.98,7.852,14.871,23.209,32.99,0.111,-1.259
Baku,Temperature_C_max,18.636,9.152,-2.826,10.4,18.05,26.624,40.45,0.137,-1.122
Baku,Temperature_C_min,12.346,7.743,-7.15,5.55,11.8,19.55,28.574,0.08,-1.213
Baku,Humidity_percent_mean,73.699,10.654,30.312,66.411,74.515,82.116,97.14,-0.421,-0.239
Baku,Humidity_percent_min,57.486,15.656,11.344,47.815,59.068,69.151,93.506,-0.473,-0.266
Baku,Wind_Speed_kmh_mean,17.921,8.208,2.566,11.611,16.178,22.856,56.295,0.93,0.637
Baku,Wind_Speed_kmh_max,26.508,9.873,5.816,18.837,25.069,32.792,65.915,0.646,0.028
Baku,Rain_mm_sum,0.815,2.615,0.0,0.0,0.0,0.3,55.3,7.971,107.488
Barda,Temperature_C_mean,16.355,9.634,-9.354,7.864,16.056,25.271,34.71,0.043,-1.224
Barda,Temperature_C_max,21.679,10.139,-2.496,12.85,21.354,30.7,41.904,0.035,-1.156
Barda,Temperature_C_min,11.105,8.869,-16.996,3.454,10.854,19.4,28.4,-0.015,-1.193
Barda,Humidity_percent_mean,62.479,16.051,21.588,49.795,63.614,75.218,98.242,-0.169,-0.849
Barda,Humidity_percent_min,42.377,16.068,9.643,30.295,40.395,53.009,94.762,0.526,-0.185
Barda,Wind_Speed_kmh_mean,8.124,3.876,1.824,5.364,7.056,9.912,29.572,1.506,3.009
Barda,Wind_Speed_kmh_max,14.256,6.615,3.6,9.256,12.413,17.641,54.655,1.37,2.16
Barda,Rain_mm_sum,0.844,2.527,0.0,0.0,0.0,0.2,30.8,5.019,33.006
Gabala,Temperature_C_mean,11.052,8.653,-16.979,3.871,11.244,18.394,28.498,-0.1,-0.968
Gabala,Temperature_C_max,14.283,9.047,-11.777,6.773,14.564,21.774,33.314,-0.087,-0.962
Gabala,Temperature_C_min,7.094,8.302,-24.426,0.565,7.214,14.174,24.614,-0.191,-0.766
Gabala,Humidity_percent_mean,68.439,17.18,15.082,56.592,69.831,81.779,99.491,-0.351,-0.52
Gabala,Humidity_percent_min,51.735,19.41,3.163,37.237,50.676,65.583,98.584,0.168,-0.621
Gabala,Wind_Speed_kmh_mean,4.501,1.489,0.74,3.47,4.273,5.312,14.129,1.084,2.377
Gabala,Wind_Speed_kmh_max,8.516,2.982,1.836,6.49,7.993,9.902,28.822,1.447,3.716
Gabala,Rain_mm_sum,2.688,5.955,0.0,0.0,0.1,2.5,82.6,4.354,28.74
Ganja,Temperature_C_mean,13.914,8.959,-11.002,6.0,13.864,21.954,32.906,0.037,-1.143
Ganja,Temperature_C_max,18.599,9.672,-7.56,10.2,18.45,26.8,39.6,0.036,-1.082
Ganja,Temperature_C_min,9.363,8.2,-16.96,2.15,9.3,16.8,26.65,-0.023,-1.095
