City,Feature,fire_mean,no_fire_mean,diff,t_stat,p_value,significant
Baku,Temperature_C_mean,19.5568,13.6993,5.8575,25.5585,0.0,True
Baku,Temperature_C_max,23.4403,16.5669,6.8734,27.6797,0.0,True
Baku,Temperature_C_min,15.7103,10.8975,4.8129,22.188,0.0,True
Baku,Humidity_percent_mean,68.969,75.7354,-6.7664,-21.428,0.0,True
Baku,Humidity_percent_min,49.4558,60.9442,-11.4884,-25.4732,0.0,True
Baku,Wind_Speed_kmh_mean,16.3836,18.5835,-2.1999,-9.4417,0.0,True
Baku,Wind_Speed_kmh_max,24.7347,27.2712,-2.5365,-9.0163,0.0,True
Baku,Rain_mm_sum,0.312,1.032,-0.72,-11.9467,0.0,True
Baku,Pressure_hPa_mean,,,,,,False
Baku,Solar_Radiation_Wm2_mean,,,,,,False
Baku,Soil_Temp_C_mean,,,,,,False
Baku,Soil_Moisture_mean,,,,,,False
Barda,Temperature_C_mean,22.4093,15.3389,7.0704,18.6588,0.0,True
Barda,Temperature_C_max,28.4989,20.5346,7.9643,20.9819,0.0,True
Barda,Temperature_C_min,15.9803,10.2871,5.6932,15.8725,0.0,True
Barda,Humidity_percent_mean,48.2995,64.8576,-16.5581,-31.5393,0.0,True
Barda,Humidity_percent_min,29.4468,44.5468,-15.1,-35.2574,0.0,True
Barda,Wind_Speed_kmh_mean,9.5569,7.8835,1.6734,10.053,0.0,True
Barda,Wind_Speed_kmh_max,16.5521,13.871,2.6811,9.9079,0.0,True
Barda,Rain_mm_sum,0.1445,0.9614,-0.8169,-16.9433,0.0,True
Barda,Pressure_hPa_mean,,,,,,False
Barda,Solar_Radiation_Wm2_mean,,,,,,False
Barda,Soil_Temp_C_mean,,,,,,False
Barda,Soil_Moisture_mean,,,,,,False
Gabala,Temperature_C_mean,18.9105,10.6991,8.2114,16.887,0.0,True
Gabala,Temperature_C_max,22.8102,13.9005,8.9097,17.8941,0.0,True
Gabala,Temperature_C_min,13.8776,6.7894,7.0882,14.3129,0.0,True
Gabala,Humidity_percent_mean,53.0853,69.1285,-16.0432,-15.903,0.0,True
Gabala,Humidity_percent_min,38.1421,52.3456,-14.2035,-14.979,0.0,True
Gabala,Wind_Speed_kmh_mean,5.2754,4.4663,0.8091,6.6906,0.0,True
Gabala,Wind_Speed_kmh_max,9.5707,8.4683,1.1023,5.1425,0.0,True
Gabala,Rain_mm_sum,0.5205,2.7849,-2.2644,-15.6475,0.0,True
Gabala,Pressure_hPa_mean,,,,,,False
Gabala,Solar_Radiation_Wm2_mean,,,,,,False
Gabala,Soil_Temp_C_mean,,,,,,False
Gabala,Soil_Moisture_mean,,,,,,False
Ganja,Temperature_C_mean,20.6967,13.3017,7.395,17.2899,0.0,True
Ganja,Temperature_C_max,26.2045,17.9121,8.2924,18.6728,0.0,True
Ganja,Temperature_C_min,15.0594,8.8481,6.2113,15.5659,0.0,True
Ganja,Humidity_percent_mean,52.6293,66.0133,-13.384,-20.148,0.0,True
Ganja,Humidity_percent_min,34.6513,48.5323,-13.881,-22.4356,0.0,True
Ganja,Wind_Speed_kmh_mean,8.6609,7.1329,1.5281,8.2596,0.0,True
Ganja,Wind_Speed_kmh_max,15.9011,13.0485,2.8525,8.0468,0.0,True
Ganja,Rain_mm_sum,0.3213,1.2194,-0.8981,-13.8315,0.0,True
Ganja,Pressure_hPa_mean,,,,,,False
Ganja,Solar_Radiation_Wm2_mean,,,,,,False
Ganja,Soil_Temp_C_mean,,,,,,False
Ganja,Soil_Moisture_mean,,,,,,False
Jalilabad,Temperature_C_mean,23.7016,13.4967,10.2049,46.2651,0.0,True
Jalilabad,Temperature_C_max,29.3382,18.0062,11.332,47.2117,0.0,True
Jalilabad,Temperature_C_min,18.2311,9.3309,8.9002,42.4007,0.0,True
Jalilabad,Humidity_percent_mean,62.5409,75.5821,-13.0412,-25.8282,0.0,True
Jalilabad,Humidity_percent_min,40.9936,57.7925,-16.7988,-31.8718,0.0,True
Jalilabad,Wind_Speed_kmh_mean,9.6057,8.3525,1.2532,9.6079,0.0,True
