City,n_rows,date_min,date_max,Temperature_C_mean__pct_missing,Temperature_C_max__pct_missing,Temperature_C_min__pct_missing,Humidity_percent_mean__pct_missing,Humidity_percent_min__pct_missing,Wind_Speed_kmh_mean__pct_missing,Wind_Speed_kmh_max__pct_missing,Rain_mm_sum__pct_missing,Pressure_hPa_mean__pct_missing,Solar_Radiation_Wm2_mean__pct_missing,Soil_Temp_C_mean__pct_missing,Soil_Moisture_mean__pct_missing,fire_days,fire_pct
Baku,5213,2012-01-19,2026-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,1569,30.1
Barda,5213,2012-01-19,2026-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,749,14.37
Gabala,5213,2012-01-19,2026-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,224,4.3
Ganja,5213,2012-01-19,2026-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,432,8.29
Jalilabad,5213,2012-01-19,2026-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,673,12.91
Khachmaz,5213,2012-01-19,2026-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,451,8.65
Lankaran,5213,2012-01-19,2026-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,329,6.31
Mingachevir,5213,2012-01-19,2026-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,687,13.18
Nakhchivan,5213,2012-01-19,2026-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,319,6.12
Quba,5213,2012-01-19,2026-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,446,8.56
Shaki,5213,2012-01-19,2026-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,639,12.26
Shamakhi,5213,2012-01-19,2026-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,447,8.57
Shirvan,5213,2012-01-19,2026-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,661,12.68
Sumqayit,5213,2012-01-19,2026-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,661,12.68
Yevlakh,5213,2012-01-19,2026-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,589,11.3
Zaqatala,5213,2012-01-19,2026-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,183,3.51
